iter	Passed	Remaining
0	176	52824
1	216	32298
2	256	25366
3	296	21925
4	336	19851
5	376	18448
6	419	17550
7	458	16750
8	498	16102
9	537	15583
10	576	15152
11	618	14838
12	657	14518
13	696	14236
14	736	13996
15	776	13776
16	817	13607
17	858	13445
18	897	13274
19	937	13119
20	976	12974
21	1017	12861
22	1059	12757
23	1100	12656
24	1140	12548
25	1181	12446
26	1222	12357
27	1261	12252
28	1301	12165
29	1341	12075
30	1381	11985
31	1420	11900
32	1463	11839
33	1501	11750
34	1540	11665
35	1579	11584
36	1619	11515
37	1658	11435
38	1699	11371
39	1739	11305
40	1779	11242
41	1819	11179
42	1859	11111
43	1898	11046
44	1938	10982
45	1980	10937
46	2020	10875
47	2061	10821
48	2102	10770
49	2144	10722
50	2198	10735
51	2242	10696
52	2284	10645
53	2325	10592
54	2352	10481
55	2393	10429
56	2434	10379
57	2477	10337
58	2517	10282
59	2556	10225
60	2596	10173
61	2636	10121
62	2677	10072
63	2716	10018
64	2757	9969
65	2799	9924
66	2839	9874
67	2879	9822
68	2918	9768
69	2957	9716
70	2996	9663
71	3036	9616
72	3075	9564
73	3116	9518
74	3156	9470
75	3196	9420
76	3235	9370
77	3275	9321
78	3316	9277
79	3356	9229
80	3395	9179
81	3437	9137
82	3476	9090
83	3517	9044
84	3556	8995
85	3597	8952
86	3638	8907
87	3677	8858
88	3716	8810
89	3755	8763
90	3795	8716
91	3834	8669
92	3874	8623
93	3914	8578
94	3953	8532
95	3993	8485
96	4034	8443
97	4074	8398
98	4113	8351
99	4153	8306
100	4192	8260
101	4231	8214
102	4271	8169
103	4310	8123
104	4349	8078
105	4389	8032
106	4428	7987
107	4468	7943
108	4509	7902
109	4549	7858
110	4590	7816
111	4631	7773
112	4669	7728
113	4708	7682
114	4747	7637
115	4787	7594
116	4827	7551
117	4867	7507
118	4906	7463
119	4947	7421
120	4987	7378
121	5029	7337
122	5069	7295
123	5109	7251
124	5148	7208
125	5188	7164
126	5228	7122
127	5268	7079
128	5307	7035
129	5346	6991
130	5386	6949
131	5426	6906
132	5466	6863
133	5506	6822
134	5548	6781
135	5587	6738
136	5627	6695
137	5666	6652
138	5706	6609
139	5745	6566
140	5784	6523
141	5824	6480
142	5863	6437
143	5903	6395
144	5945	6355
145	5985	6313
146	6026	6272
147	6066	6230
148	6105	6187
149	6144	6144
150	6183	6101
151	6223	6059
152	6262	6016
153	6302	5975
154	6342	5932
155	6382	5891
156	6423	5850
157	6463	5808
158	6502	5766
159	6542	5724
160	6582	5682
161	6623	5642
162	6662	5599
163	6701	5556
164	6741	5515
165	6781	5474
166	6820	5432
167	6861	5391
168	6901	5349
169	6941	5308
170	6981	5266
171	7020	5224
172	7063	5185
173	7102	5143
174	7141	5100
175	7180	5058
176	7219	5016
177	7259	4975
178	7299	4934
179	7340	4893
180	7381	4852
181	7420	4811
182	7459	4769
183	7498	4727
184	7537	4685
185	7577	4644
186	7617	4603
187	7657	4561
188	7696	4519
189	7735	4478
190	7776	4437
191	7818	4397
192	7857	4356
193	7896	4314
194	7935	4273
195	7975	4232
196	8014	4190
197	8054	4149
198	8092	4107
199	8132	4066
200	8171	4024
201	8210	3983
202	8250	3942
203	8293	3902
204	8335	3862
205	8375	3821
206	8414	3780
207	8453	3739
208	8492	3697
209	8531	3656
210	8572	3615
211	8611	3574
212	8651	3533
213	8691	3492
214	8731	3452
215	8771	3411
216	8811	3370
217	8850	3328
218	8893	3289
219	8932	3248
220	8972	3207
221	9011	3166
222	9050	3125
223	9090	3084
224	9128	3042
225	9168	3002
226	9208	2961
227	9248	2920
228	9287	2879
229	9326	2838
230	9367	2798
231	9406	2757
232	9446	2716
233	9485	2675
234	9524	2634
235	9563	2593
236	9604	2553
237	9646	2512
238	9687	2472
239	9726	2431
240	9766	2390
241	9805	2350
242	9844	2309
243	9885	2268
244	9925	2228
245	9966	2187
246	10005	2146
247	10044	2106
248	10084	2065
249	10124	2024
250	10165	1984
251	10204	1943
252	10243	1902
253	10283	1862
254	10322	1821
255	10362	1781
256	10401	1740
257	10441	1699
258	10479	1658
259	10518	1618
260	10557	1577
261	10598	1537
262	10641	1497
263	10682	1456
264	10727	1416
265	10766	1376
266	10806	1335
267	10845	1295
268	10885	1254
269	10925	1213
270	10965	1173
271	11004	1132
272	11043	1092
273	11083	1051
274	11123	1011
275	11164	970
276	11204	930
277	11245	889
278	11284	849
279	11324	808
280	11363	768
281	11403	727
282	11444	687
283	11483	646
284	11524	606
285	11563	566
286	11603	525
287	11644	485
288	11683	444
289	11723	404
290	11762	363
291	11801	323
292	11840	282
293	11879	242
294	11919	202
295	11958	161
296	11999	121
297	12038	80
298	12077	40
299	12116	0
